Start (s),End (s),Scientific name,Common name,Confidence,File
27.0,30.0,Chroicocephalus ridibundus,Black-headed Gull,0.4682,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
51.0,54.0,Acanthis flammea,Common Redpoll,0.2551,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
93.0,96.0,Turdus pilaris,Fieldfare,0.2157,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
99.0,102.0,Turdus pilaris,Fieldfare,0.2109,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
141.0,144.0,Turdus pilaris,Fieldfare,0.7579,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
318.0,321.0,Turdus pilaris,Fieldfare,0.5624,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
327.0,330.0,Turdus pilaris,Fieldfare,0.6083,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
330.0,333.0,Spinus spinus,Eurasian Siskin,0.2426,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
333.0,336.0,Turdus pilaris,Fieldfare,0.7156,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
339.0,342.0,Turdus pilaris,Fieldfare,0.4953,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
342.0,345.0,Turdus pilaris,Fieldfare,0.9782,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
426.0,429.0,Turdus pilaris,Fieldfare,0.8117,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
432.0,435.0,Turdus pilaris,Fieldfare,0.2439,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
435.0,438.0,Turdus pilaris,Fieldfare,0.2969,/var/folders/lq/dq4_bqy9443csb9z97cht3q80000gn/T/tmp3bqkxroh/converted.wav
